,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
65,Mount Isa,AU,-20.7333,139.5,84.2,39,38,14.97,1619484102
66,Ahipara,NZ,-35.1667,173.1667,63.48,74,99,10.98,1619484102
67,Kapaa,US,22.0752,-159.319,78.8,65,40,8.05,1619484102
68,Port Elizabeth,ZA,-33.918,25.5701,60.8,94,75,16.11,1619483922
69,Yar-Sale,RU,66.8333,70.8333,32.99,97,100,12.57,1619484103
70,Osa,RU,57.2829,55.4567,35.51,77,0,6.76,1619484103
71,Okha,RU,53.5739,142.9478,33.8,79,34,14.25,1619484103
72,Faanui,PF,-16.4833,-151.75,81.18,68,100,4.38,1619484103
73,Port Alfred,ZA,-33.5906,26.891,66.29,84,88,10.49,1619484104
74,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,73,1,14.97,1619484104
75,Kapuskasing,CA,49.4169,-82.4331,44.6,36,100,6.91,1619484104
76,Qaanaaq,GL,77.484,-69.3632,37.38,70,100,7.18,1619484104
77,Dārāb,IR,28.7519,54.5444,67.98,38,6,2.84,1619484104
78,Takoradze,GH,4.8845,-1.7554,80.96,87,100,6.11,1619484104
79,Sarankhola,BD,22.3082,89.7897,82.51,74,17,5.77,1619484105
80,Kruisfontein,ZA,-34.0033,24.7314,62.01,88,79,1.01,1619484105
81,Kaitangata,NZ,-46.2817,169.8464,45.0,73,98,4.0,1619484105
82,Udachny,RU,66.4167,112.4,13.87,86,92,15.23,1619484106
83,Port Lincoln,AU,-34.7333,135.8667,66.6,60,1,7.05,1619484106
84,Sitka,US,57.0531,-135.33,51.8,71,75,5.35,1619484106
85,Quartz Hill,US,34.6453,-118.2181,59.0,47,75,17.27,1619484107
86,Katsuura,JP,35.1333,140.3,59.0,62,20,9.22,1619484107
87,La Providencia,MX,28.7167,-111.5833,75.99,39,99,10.0,1619484112
88,Hermanus,ZA,-34.4187,19.2345,62.01,85,96,1.99,1619484113
89,New Norfolk,AU,-42.7826,147.0587,63.0,52,4,3.0,1619484113
90,Guerrero Negro,MX,27.9769,-114.0611,61.74,64,100,16.71,1619484113
91,Dumka,IN,24.2667,87.25,84.67,12,60,3.18,1619484114
92,Rawson,AR,-43.3002,-65.1023,63.93,41,15,7.23,1619484114
93,Erenhot,CN,43.6475,111.9767,39.99,31,100,19.86,1619484114
94,Siedlce,PL,52.1677,22.2901,28.99,74,11,4.88,1619484114
95,Toba,JP,34.4833,136.85,55.0,70,65,5.01,1619484114
96,Fairbanks,US,64.8378,-147.7164,55.4,28,1,13.8,1619484115
97,Aklavik,CA,68.2191,-135.0107,23.0,45,91,9.22,1619484115
98,Constantine,DZ,36.365,6.6147,51.8,93,0,3.44,1619484115
99,Dingle,PH,10.9995,122.6711,84.04,62,19,9.98,1619484115
100,Ribeira Grande,PT,38.5167,-28.7,60.62,84,100,3.58,1619484115
101,Nardaran,AZ,40.5561,50.0056,53.6,94,20,11.5,1619484116
102,Sorong,ID,-0.8833,131.25,83.01,73,89,2.59,1619484116
103,Lompoc,US,34.6391,-120.4579,57.2,62,0,18.41,1619484116
104,Ilinge,ZA,-31.9768,27.0427,61.34,31,100,5.37,1619484116
105,Khatanga,RU,71.9667,102.5,22.23,93,100,17.47,1619483828
106,Nikolskoye,RU,59.7035,30.7861,41.0,75,75,6.71,1619484117
107,Jingdezhen,CN,29.2947,117.2079,64.4,95,100,2.73,1619484018
108,Alice Springs,AU,-23.7,133.8833,66.2,30,0,8.05,1619483992
109,Karratha,AU,-20.7377,116.8463,82.17,21,0,14.18,1619484117
110,Mount Gambier,AU,-37.8333,140.7667,57.2,67,75,5.75,1619484117
111,Henties Bay,NA,-22.116,14.2845,61.0,89,2,1.01,1619484118
112,Puertollano,ES,38.6871,-4.1073,54.0,80,93,1.99,1619484118
113,Bethel,US,41.3712,-73.414,55.4,21,1,5.75,1619484118
114,Avera,US,33.194,-82.5271,68.0,64,1,5.03,1619484118
115,Vaini,TO,-21.2,-175.2,77.0,94,90,4.61,1619484118
116,Jaciara,BR,-15.9653,-54.9683,68.56,91,75,2.13,1619484119
117,Itoman,JP,26.1247,127.6694,71.6,64,40,13.8,1619484119
118,Oussouye,SN,12.485,-16.5469,75.2,88,0,4.61,1619484119
119,Jumla,NP,29.2747,82.1838,51.62,46,0,3.47,1619484119
120,Marrakesh,MA,31.6315,-8.0083,60.8,72,75,6.91,1619483866
121,Naantali,FI,60.4674,22.0243,36.0,87,90,3.44,1619484119
122,Dargaville,NZ,-35.9333,173.8833,63.79,72,83,11.14,1619484119
123,Pedernales,DO,18.0384,-71.744,78.21,75,76,2.21,1619484120
124,Saint-Joseph,RE,-21.3667,55.6167,77.0,73,90,19.57,1619484120
125,Inhambane,MZ,-23.865,35.3833,71.2,88,0,4.85,1619484120
126,Mocuba,MZ,-16.8392,36.9856,69.8,97,90,1.68,1619484120
127,Kjøllefjord,NO,70.9457,27.3465,30.27,64,95,8.5,1619484120
128,Tura,IN,25.5198,90.2201,82.18,36,100,6.89,1619484121
129,Luwuk,ID,-0.9516,122.7875,84.42,68,23,4.27,1619484121
130,Adré,TD,13.4667,22.2,80.69,9,6,14.88,1619484126
131,Ust-Kuyga,RU,70.0167,135.6,26.2,92,100,7.96,1619484126
132,North Bend,US,43.4065,-124.2243,55.4,67,90,13.8,1619484126
133,Atuona,PF,-9.8,-139.0333,79.92,74,99,14.81,1619484127
134,Vestmannaeyjar,IS,63.4427,-20.2734,44.46,89,20,9.46,1619484127
135,Cuiabá,BR,-15.5961,-56.0967,75.2,83,75,4.61,1619484031
136,Pishin,PK,30.5803,66.9961,65.61,21,0,2.42,1619484128
137,Turaif,SA,31.6725,38.6637,55.4,76,0,13.8,1619484128
138,Dunedin,NZ,-45.8742,170.5036,44.01,84,99,14.0,1619484129
139,Adrar,MR,20.5022,-10.0711,80.96,20,7,11.65,1619484129
140,Saint Paul Harbor,US,57.79,-152.4072,42.8,87,90,14.97,1619484129
141,Ixtapa,MX,20.7,-105.2,80.6,74,75,9.22,1619484129
142,Olinda,BR,-8.0089,-34.8553,78.8,73,40,6.91,1619484129
143,Hong Kong,HK,22.2855,114.1577,73.99,89,100,1.01,1619484087
144,Longyearbyen,SJ,78.2186,15.6401,19.4,63,40,13.8,1619484130
145,Sioux Lookout,CA,50.1001,-91.917,35.6,75,90,8.05,1619484130
146,Botou,CN,38.0667,116.5667,68.47,12,0,14.45,1619484130
147,Chabahar,IR,25.2919,60.643,81.55,68,0,9.75,1619484130
148,Hambantota,LK,6.1241,81.1185,78.8,100,20,3.44,1619484130
149,Arara,BR,-6.8283,-35.7583,73.4,88,0,10.36,1619484131
150,Sangar,RU,63.9242,127.4739,23.63,90,100,13.13,1619484131
151,Vardø,NO,70.3705,31.1107,33.1,61,97,16.55,1619484131
152,Burns Lake,CA,54.2331,-125.7533,60.8,17,0,11.5,1619484131
153,Beloha,MG,-25.1667,45.05,70.27,74,0,5.5,1619484131
154,Vysokogornyy,RU,50.1167,139.15,46.06,66,99,2.57,1619484131
155,Leningradskiy,RU,69.3833,178.4167,31.53,85,87,4.16,1619484131
156,Lahaina,US,20.8783,-156.6825,80.6,57,75,9.22,1619484132
157,Cabo San Lucas,MX,22.8909,-109.9124,77.0,68,90,19.57,1619484132
158,Denpasar,ID,-8.65,115.2167,82.4,78,75,4.61,1619484132
159,Yenagoa,NG,4.9247,6.2642,78.4,89,100,4.45,1619484132
160,Kavaratti,IN,10.5669,72.642,84.33,72,6,7.07,1619484132
161,Ilhabela,BR,-23.7781,-45.3581,72.36,83,69,3.2,1619484133
162,León,MX,21.1167,-101.6667,87.8,20,75,8.05,1619484133
163,Yārāda,IN,17.65,83.2667,80.6,89,20,2.3,1619484133
164,Bemidji,US,47.4736,-94.8803,39.0,100,90,6.91,1619484133
165,Estelle,US,29.8458,-90.1067,73.4,78,75,12.66,1619484133
166,Broken Hill,AU,-31.95,141.4333,64.4,39,5,3.44,1619484133
167,Mariehamn,AX,60.0973,19.9348,32.0,93,0,4.61,1619484019
168,Makakilo City,US,21.3469,-158.0858,82.4,57,40,10.36,1619484134
169,Atar,MR,20.5169,-13.0499,78.93,18,13,3.33,1619484134
170,Saint George,US,37.1041,-113.5841,57.99,47,1,16.11,1619484134
171,Rome,US,43.2128,-75.4557,42.8,36,1,10.36,1619483993
172,Arrondissement de Langres,FR,47.8333,5.3333,48.2,46,0,10.36,1619484134
173,Tokonou,GN,9.65,-9.7833,73.54,77,100,3.76,1619484134
174,Chicama,PE,-7.8447,-79.1469,69.91,77,10,5.61,1619484135
175,Tuatapere,NZ,-46.1333,167.6833,48.0,69,92,11.01,1619484135
176,Kununurra,AU,-15.7667,128.7333,84.2,54,90,8.05,1619484140
177,Fortuna,US,40.5982,-124.1573,55.99,62,1,12.66,1619484140
178,George Town,MY,5.4112,100.3354,77.0,94,40,4.61,1619484140
179,Pombia,IT,45.653,8.6336,51.01,93,75,2.3,1619484140
180,Lamu,KE,-2.2717,40.902,80.62,81,100,9.64,1619484141
181,Eldorado,BR,-23.7869,-54.2836,58.44,74,0,5.08,1619484141
182,Yarmouth,US,41.7057,-70.2286,48.99,57,1,4.61,1619484141
183,Pevek,RU,69.7008,170.3133,25.57,92,100,3.8,1619484141
184,Lesnoy,RU,57.6198,63.0784,39.74,62,19,10.98,1619484141
185,Touros,BR,-5.1989,-35.4608,77.0,88,20,4.61,1619484141
186,Mogadishu,SO,2.0371,45.3438,82.33,75,30,6.85,1619484141
187,Abong Mbang,CM,3.9833,13.1833,67.8,96,96,0.92,1619484142
188,Orlik,RU,52.5178,99.825,25.32,77,31,2.21,1619484142
189,Hue,VN,16.4667,107.6,77.0,88,75,11.5,1619484142
190,Antofagasta,CL,-23.65,-70.4,60.8,77,0,5.75,1619483958
191,Hofn,IS,64.2539,-15.2082,38.3,69,28,1.68,1619484142
192,Hereford,GB,52.0568,-2.7148,41.0,86,90,3.11,1619484143
193,Avarua,CK,-21.2078,-159.775,82.4,65,40,8.05,1619484143
194,Darhan,MN,49.4867,105.9228,42.12,41,99,13.06,1619484143
195,Juegang,CN,32.3174,121.1855,59.4,94,100,5.7,1619484143
196,Conakry,GN,9.538,-13.6773,80.37,65,100,3.87,1619484143
197,Vostok,RU,46.4856,135.8833,55.89,27,100,4.12,1619484143
198,Sørland,NO,67.667,12.6934,36.81,57,47,16.08,1619484143
199,Pangody,RU,65.85,74.4859,33.1,98,100,17.16,1619484144
200,Makiyivka,UA,48.0478,37.9258,36.19,73,6,8.97,1619484144
201,Fort Nelson,CA,58.8053,-122.7002,24.8,74,90,8.05,1619484144
202,Nuuk,GL,64.1835,-51.7216,35.6,93,90,5.75,1619484144
203,Tiksi,RU,71.6872,128.8694,16.47,87,100,11.07,1619484144
204,Srednekolymsk,RU,67.45,153.6833,27.57,75,68,5.48,1619484145
205,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,90,19.57,1619484145
206,Dikson,RU,73.5069,80.5464,31.8,98,100,17.6,1619484145
207,Puerto Quijarro,BO,-17.7833,-57.7667,72.43,69,82,2.93,1619484145
208,Shelburne,CA,44.0787,-80.2041,46.0,49,20,4.61,1619484145
209,Norman Wells,CA,65.282,-126.8329,17.6,41,75,3.44,1619484145
210,Amga,RU,60.8953,131.9608,38.14,90,100,1.3,1619484146
211,Thompson,CA,55.7435,-97.8558,48.2,49,40,12.66,1619484146
212,Nanortalik,GL,60.1432,-45.2371,34.25,94,92,9.44,1619484146
213,Coleraine,GB,55.1333,-6.6667,46.4,87,75,9.22,1619484146
214,Juneau,US,58.3019,-134.4197,62.6,20,75,9.22,1619484146
215,Zelenoborskiy,RU,66.845,32.3622,25.48,91,100,1.59,1619484147
216,Royan,FR,45.6285,-1.0281,55.4,71,0,4.61,1619484147
217,Anadyr,RU,64.75,177.4833,30.2,100,0,4.47,1619484147
218,‘Ewa Beach,US,21.3156,-158.0072,82.4,57,40,10.36,1619484147
219,Najrān,SA,17.4924,44.1277,68.0,83,40,6.91,1619484147
220,Lebu,CL,-37.6167,-73.65,53.55,88,10,9.33,1619484147
221,Nālūt,LY,30.3333,10.85,78.31,21,1,11.95,1619484147
222,Corinth,GR,37.9407,22.9573,57.0,61,79,2.53,1619484130
223,Provideniya,RU,64.3833,-173.3,39.2,65,0,2.24,1619484153
224,Chengdu,CN,30.6667,104.0667,69.01,94,41,4.47,1619484021
225,Bayevo,RU,53.2833,80.7667,48.76,72,100,8.03,1619484153
226,Cherskiy,RU,68.75,161.3,24.28,79,68,7.96,1619484020
227,Vrangel',RU,42.7297,133.0839,46.54,76,100,5.01,1619484153
228,Guilin,CN,25.2819,110.2864,60.8,94,75,2.24,1619484154
229,Limbang,MY,4.75,115.0,80.6,89,75,2.3,1619484154
230,East London,ZA,-33.0153,27.9116,68.13,82,70,11.65,1619484154
231,Itororó,BR,-15.1169,-40.0703,68.22,91,59,3.51,1619484154
232,Baykit,RU,61.67,96.37,33.39,71,18,3.18,1619484154
233,Yatou,CN,37.15,122.3833,53.64,95,100,13.87,1619484154
234,Avola,IT,36.9113,15.1395,64.4,52,100,13.8,1619484155
235,Quatre Cocos,MU,-20.2078,57.7625,77.0,94,75,8.05,1619484155
236,Coquimbo,CL,-29.9533,-71.3436,57.2,82,0,3.44,1619483935
237,Brewster,US,41.3973,-73.6171,55.4,21,1,5.75,1619484155
238,Sobolevo,RU,54.4299,31.8996,30.09,80,70,4.68,1619484155
239,Arkhangelsk,RU,64.5401,40.5433,32.0,80,90,6.71,1619484156
240,Kavieng,PG,-2.5744,150.7967,84.24,68,67,3.96,1619484156
241,Nizwá,OM,22.9333,57.5333,75.88,31,82,1.52,1619484156
242,Walvis Bay,NA,-22.9575,14.5053,61.0,88,38,5.75,1619484156
243,Port Blair,IN,11.6667,92.75,82.4,71,95,3.96,1619483886
244,Beitbridge,ZW,-22.2167,30.0,65.62,49,0,3.56,1619484156
245,Ancud,CL,-41.8697,-73.8203,55.99,94,90,6.91,1619484157
246,Esperance,AU,-33.8667,121.9,71.6,30,100,17.27,1619484157
247,Matamoros,MX,25.5333,-103.25,93.2,5,90,4.61,1619484157
248,Aquiraz,BR,-3.9014,-38.3911,82.4,78,40,5.75,1619484157
249,Jamestown,US,42.097,-79.2353,46.4,46,1,10.36,1619484157
250,College,US,64.8569,-147.8028,55.4,30,20,14.97,1619484158
251,Tomatlán,MX,19.9333,-105.25,80.13,49,100,7.47,1619484158
252,San Quintín,MX,30.4833,-115.95,56.8,76,100,12.08,1619484158
253,Carnarvon,AU,-24.8667,113.6333,69.8,52,0,8.19,1619484158
254,Egvekinot,RU,66.3167,-179.1667,25.79,92,68,3.33,1619484158
255,Sibolga,ID,1.7427,98.7792,78.87,84,100,2.89,1619484159
256,Çeşme,TR,38.3228,26.3064,57.2,62,0,4.61,1619483994
257,Northam,GB,51.0333,-4.2167,44.01,31,41,2.71,1619484159
258,Puerto Ayacucho,VE,5.6639,-67.6236,80.49,76,74,5.1,1619484159
259,Nan,TH,18.8333,100.6667,75.2,94,20,2.3,1619484159
260,Plátanos,GR,37.6667,21.6167,55.4,88,20,6.6,1619484160
261,Lucapa,AO,-8.4192,20.7447,66.94,91,100,2.28,1619484160
262,Hīt,IQ,33.6416,42.8251,75.99,25,53,19.22,1619484160
263,Wabana,CA,47.6332,-52.9481,42.01,87,90,19.57,1619484160
264,Slonim,BY,53.0867,25.3219,27.75,95,15,5.84,1619484160
265,Atasū,KZ,48.6814,71.6433,53.15,45,93,8.19,1619484161
266,Marzuq,YE,14.4,46.4667,71.44,60,100,3.44,1619484161
267,Vestmanna,FO,62.1564,-7.1664,39.2,81,40,19.57,1619484166
268,Shunyi,CN,40.125,116.6453,59.0,63,26,2.24,1619484166
269,Grindavik,IS,63.8424,-22.4338,42.8,93,75,5.75,1619484166
270,Sechura,PE,-5.5569,-80.8222,72.43,69,41,15.59,1619484166
271,Prabumulih,ID,-3.45,104.25,79.43,79,10,3.8,1619484167
272,Vila Franca do Campo,PT,37.7167,-25.4333,59.0,82,75,8.05,1619484167
273,Zaraza,VE,9.3503,-65.3245,79.18,70,10,10.65,1619484167
274,Chui,UY,-33.6971,-53.4616,54.18,80,0,7.63,1619484167
275,Klyuchi,RU,52.2667,79.1667,51.76,74,100,8.16,1619484167
276,Superior,US,46.7208,-92.1041,37.4,100,90,12.66,1619484167
277,Yellowknife,CA,62.456,-114.3525,10.4,48,20,16.11,1619483898
278,Nouadhibou,MR,20.931,-17.0347,66.2,88,0,14.97,1619484168
279,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,13.8,1619484168
280,Anapskaya,RU,44.89,37.38,41.0,87,8,4.47,1619484168
281,Airai,TL,-8.9266,125.4092,69.87,43,11,2.06,1619484168
282,Leer,SS,8.3018,30.1418,72.97,81,100,4.68,1619484169
283,Port Hardy,CA,50.6996,-127.4199,53.6,71,75,10.36,1619484169
284,Gambēla,ET,8.25,34.5833,71.02,85,100,2.55,1619484169
285,Kapoeta,SS,4.7717,33.5903,71.02,82,100,6.4,1619484169
286,Chokurdakh,RU,70.6333,147.9167,25.9,84,98,2.89,1619484169
287,Chapais,CA,49.7834,-74.8492,33.8,69,90,9.22,1619484170
288,Moerai,PF,-22.4333,-151.3333,78.08,75,71,7.02,1619484170
289,Atyrau,KZ,47.1167,51.8833,50.0,93,75,4.47,1619484170
290,Hvide Sande,DK,56.0045,8.1294,30.99,78,5,10.49,1619484147
291,Rabo de Peixe,PT,37.8,-25.5833,59.0,82,75,8.05,1619484170
292,Glenwood Springs,US,39.5505,-107.3248,61.0,38,99,16.11,1619484170
293,Amapá,BR,1.0,-52.0,72.23,98,100,2.59,1619484170
294,Port Macquarie,AU,-31.4333,152.9167,72.0,63,0,4.0,1619484069
295,Codrington,AU,-38.2667,141.9667,60.55,64,88,0.74,1619484171
296,Tabou,CI,4.423,-7.3528,80.02,85,79,7.0,1619484171
297,Dunga Bunga,PK,29.7493,73.2432,82.83,10,0,7.23,1619484171
298,Port-Gentil,GA,-0.7193,8.7815,82.18,79,100,6.85,1619484171
299,Cap Malheureux,MU,-19.9842,57.6142,77.0,83,100,5.01,1619484171
300,Coahuayana Viejo,MX,18.7333,-103.6833,82.4,47,90,13.8,1619484172
301,Westport,US,41.1415,-73.3579,57.2,19,1,16.11,1619484172
302,Gold Coast,AU,-28.0,153.4333,77.0,60,1,9.22,1619484172
303,Benicarló,ES,40.4165,0.4271,51.01,93,67,2.39,1619484172
304,Swellendam,ZA,-34.0226,20.4417,55.4,94,40,1.14,1619484172
305,Glace Bay,CA,46.1969,-59.957,46.99,100,90,10.36,1619484172
306,Brigantine,US,39.4101,-74.3646,57.2,28,1,8.05,1619484172
307,Ulaangom,MN,49.9811,92.0667,37.6,48,91,3.38,1619484173
308,Sirte,LY,31.2089,16.5887,67.42,47,20,14.09,1619484173
309,Goundam,ML,16.4145,-3.6708,86.25,14,0,7.99,1619484173
310,Muzhi,RU,65.3667,64.6667,34.99,99,100,2.73,1619484173
311,Mildura,AU,-34.2,142.15,66.0,55,1,5.75,1619484173
312,Praia,CV,14.9215,-23.5087,69.8,73,75,17.27,1619484173
313,Morón,AR,-34.6534,-58.6198,62.01,82,0,2.28,1619483910
314,Ndola,ZM,-12.9587,28.6366,64.0,86,100,1.01,1619484179
315,Birjand,IR,32.8663,59.2211,66.2,16,75,9.22,1619484179
316,Murom,RU,55.5656,42.0417,35.62,73,100,5.88,1619484179
317,Yuzhnyy,RU,53.2542,83.6936,48.2,61,0,8.95,1619484179
318,Xai-Xai,MZ,-25.0519,33.6442,66.79,95,7,7.07,1619484179
319,Bagdarin,RU,54.4333,113.6,29.39,60,100,15.32,1619484179
320,Haines Junction,CA,60.7522,-137.5108,53.6,24,12,9.22,1619484180
321,North Myrtle Beach,US,33.816,-78.68,64.99,72,1,5.75,1619484180
322,Geraldton,AU,-28.7667,114.6,68.0,45,20,5.75,1619484180
323,Myskhako,RU,44.6714,37.7433,41.0,87,6,4.47,1619484180
324,Oranjemund,NA,-28.55,16.4333,58.86,87,17,4.12,1619484180
325,Bač,RS,45.3919,19.2367,48.99,81,75,5.75,1619484180
326,Tarqui,CO,2.1125,-75.8242,71.55,93,100,3.29,1619484181
327,Kikwit,CD,-5.041,18.8162,71.37,94,99,2.1,1619483889
328,Oudtshoorn,ZA,-33.5907,22.2014,55.4,100,20,3.44,1619484181
329,Usinsk,RU,65.9939,57.5281,35.38,98,100,8.1,1619484181
330,Porbandar,IN,21.6422,69.6093,78.8,94,0,5.75,1619484181
331,St. Pete Beach,US,27.7253,-82.7412,81.0,61,1,13.8,1619484182
332,Ulety,RU,51.3572,112.4849,35.78,60,42,19.55,1619484182
333,Ishigaki,JP,24.3448,124.1572,75.2,64,20,11.5,1619484182
334,Monastyryshche,UA,48.9909,29.8047,32.99,75,21,4.83,1619484182
335,Worland,US,44.0169,-107.9554,46.0,87,90,5.75,1619484182
336,Balikpapan,ID,-1.2675,116.8289,79.45,86,77,3.02,1619484182
337,Falam,MM,22.9167,93.6833,73.35,33,84,2.57,1619484183
338,Nortelândia,BR,-14.4547,-56.8028,69.98,89,69,1.3,1619484183
339,Pavlivka,UA,49.4414,28.4596,33.12,78,100,5.14,1619484183
340,Margate,GB,51.3813,1.3862,44.01,81,100,1.01,1619484183
341,Eureka,US,40.8021,-124.1637,55.99,71,1,11.5,1619484183
342,Pinan,SE,58.68,11.6463,33.8,74,6,2.3,1619484183
343,Elliot Lake,CA,46.3834,-82.6331,35.6,80,90,12.66,1619484184
344,Kattivākkam,IN,13.2167,80.3167,82.4,78,40,2.3,1619484184
345,Te Anau,NZ,-45.4167,167.7167,45.57,65,21,1.41,1619484184
346,Eston,CA,51.1501,-108.7514,59.0,18,75,12.66,1619484185
347,Iqaluit,CA,63.7506,-68.5145,23.0,80,90,21.85,1619484185
348,Jacareacanga,BR,-6.2222,-57.7528,73.24,98,100,0.56,1619484185
349,Punto Fijo,VE,11.6956,-70.1996,79.23,78,61,22.77,1619484185
350,Beyneu,KZ,45.3167,55.2,70.23,42,100,8.14,1619484185
351,Forrest City,US,35.0081,-90.7898,73.4,60,1,5.75,1619484185
352,Anshun,CN,26.25,105.9333,55.56,91,100,6.22,1619484086
353,Bonthe,SL,7.5264,-12.505,80.08,82,21,4.85,1619484186
354,Bonavista,CA,48.6499,-53.1147,39.2,70,100,11.5,1619484186
355,Ola,RU,59.5833,151.2833,23.22,77,42,4.07,1619484186
356,Khanpur,PK,28.6453,70.6567,84.36,11,0,7.65,1619484187
357,Chillicothe,US,39.3331,-82.9824,64.4,29,1,4.61,1619484187
358,Esfarāyen,IR,37.0765,57.5101,55.4,54,0,2.3,1619484187
359,Itupiranga,BR,-5.1347,-49.3267,74.32,95,98,1.54,1619484192
